<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
117470,117470,117390,117410,110200,110210,110170,110190,109820,109860,109800,109820,115490,115500,115400,115430
117400,117450,117370,117440,110180,110190,110150,110170,109810,109810,109740,109760,115430,115430,115370,115390
117440,117450,117390,117430,110150,110180,110140,110160,109770,109770,109730,109760,115380,115400,115330,115340
117430,117430,117330,117360,110150,110200,110140,110170,109750,109850,109730,109850,115340,115420,115310,115350
117350,117370,117310,117360,110170,110210,110150,110200,109840,109840,109760,109770,115370,115420,115360,115370
117370,117390,117330,117390,110190,110230,110150,110230,109760,109810,109760,109760,115370,115370,115300,115310
117380,117410,117300,117300,110230,110230,110150,110170,109760,109820,109750,109820,115320,115340,115280,115300
117310,117320,117210,117270,110170,110200,110160,110180,109820,109850,109810,109830,115290,115340,115280,115340
117270,117280,117120,117180,110180,110220,110160,110180,109820,109850,109810,109810,115330,115340,115250,115270
117190,117200,117120,117170,110170,110220,110120,110220,109810,109850,109800,109850,115280,115310,115270,115310
117170,117250,117160,117240,110220,110300,110210,110280,109850,109930,109830,109930,115290,115330,115260,115330
117240,117250,117200,117240,110290,110380,110270,110380,109920,109960,109910,109960,115330,115360,115320,115330
117250,117280,117230,117280,110370,110370,110270,110310,109960,109960,109870,109880,115330,115330,115240,115280
117280,117330,117210,117330,110290,110300,110230,110290,109880,109930,109880,109920,115280,115360,115270,115340
117330,117350,117290,117300,110290,110290,110220,110250,109920,109930,109870,109890,115340,115340,115220,115270
117310,117350,117270,117330,110260,110260,110150,110200,109900,109910,109870,109890,115270,115290,115210,115230
117330,117370,117290,117300,110200,110320,110190,110280,109910,109910,109790,109790,115230,115230,115100,115140
117300,117300,117220,117290,110280,110340,110270,110280,109800,109820,109710,109720,115140,115170,115100,115170
117290,117290,117220,117220,110290,110300,110230,110270,109710,109730,109610,109630,115170,115200,115140,115170
117220,117270,117190,117270,110260,110430,110260,110420,109630,109690,109610,109640,115170,115180,115110,115160
117270,117270,117200,117230,110410,110440,110340,110370,109640,109650,109440,109520,115160,115200,115130,115140
117240,117240,117180,117200,110380,110380,110300,110340,109520,109580,109500,109560,115140,115150,115110,115150
117210,117440,117210,117430,110340,110390,110270,110280,109550,109570,109320,109340,115140,115200,115110,115170
117420,117430,117320,117320,110290,110330,110280,110320,109330,109460,109290,109380,115180,115250,115180,115210
117330,117360,117280,117330,110330,110410,110330,110360,109380,109460,109350,109440,115220,115230,115170,115190
117330,117330,117270,117290,110380,110400,110330,110350,109430,109500,109430,109480,115200,115250,115190,115240
117280,117280,117220,117270,110340,110380,110330,110360,109490,109500,109440,109500,115220,115310,115210,115280
117260,117260,117150,117170,110360,110380,110320,110330,109490,109500,109460,109480,115270,115300,115250,115280
117160,117170,117060,117110,110350,110350,110320,110340,109480,109500,109420,109440,115270,115280,115220,115250
117120,117150,117100,117120,110330,110420,110320,110400,109450,109490,109420,109430,115250,115280,115230,115270
117120,117180,117100,117170,110390,110550,110390,110450,109420,109510,109380,109490,115250,115290,115240,115290
117170,117180,117120,117140,110450,110500,110440,110440,109480,109520,109440,109460,115290,115290,115260,115260
117130,117160,117100,117160,110440,110470,110410,110440,109460,109570,109460,109560,115260,115270,115230,115230
117150,117160,117090,117100,110450,110480,110420,110480,109550,109570,109510,109530,115240,115290,115230,115260
117090,117100,117050,117090,110470,110510,110460,110470,109530,109540,109430,109510,115260,115320,115230,115310
117080,117120,117060,117080,110480,110580,110470,110520,109490,109510,109430,109450,115310,115310,115270,115300
117080,117100,117040,117060,110520,110530,110480,110500,109450,109510,109450,109500,115290,115300,115260,115270
117060,117080,117030,117060,110520,110580,110510,110550,109500,109510,109440,109480,115260,115420,115260,115380
117070,117140,117060,117140,110540,110560,110500,110510,109470,109560,109460,109550,115380,115380,115280,115300
117120,117150,117070,117080,110500,110510,110470,110480,109560,109560,109510,109550,115310,115330,115270,115310
117070,117080,117010,117070,110480,110490,110440,110460,109560,109630,109540,109620,115320,115370,115320,115360
117080,117120,117060,117120,110450,110500,110440,110490,109610,109620,109590,109600,115350,115380,115340,115350
